Effect,DiffNumberOFCharacters,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
No. Characters,1,Less,More,More - Less,0.715527645420449,0.0790955252085179,74,East_Malaysian,MYS,East,Malaysian
No. Characters,2,Less,More,More - Less,0.616488841576694,0.123354066652047,40,East_Malaysian,MYS,East,Malaysian
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,East_Malaysian,MYS,East,Malaysian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Malaysian,MYS,East,Malaysian
No. Characters,1,Less,More,More - Less,0.591169900039776,0.089155535906786,74,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,2,Less,More,More - Less,0.526590456245034,0.131778723695728,40,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,1,Less,More,More - Less,0.715527645420449,0.0790955252085179,74,East_Taiwanese,TWN,East,Taiwanese
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,East_Taiwanese,TWN,East,Taiwanese
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,East_Taiwanese,TWN,East,Taiwanese
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,East_Taiwanese,TWN,East,Taiwanese
No. Characters,1,Less,More,More - Less,0.675226130382014,0.082402268488239,74,Neutral,,Neutral,Neutral
No. Characters,2,Less,More,More - Less,0.672157925480455,0.118302647508024,40,Neutral,,Neutral,Neutral
No. Characters,3,Less,More,More - Less,0.459121812555394,0.188419192498783,24,Neutral,,Neutral,Neutral
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,Neutral,,Neutral,Neutral
No. Characters,1,Less,More,More - Less,0.764161705891137,0.0745374730757159,74,West_American,USA,West,American
No. Characters,2,Less,More,More - Less,0.672157925480455,0.118302647508024,40,West_American,USA,West,American
No. Characters,3,Less,More,More - Less,0.274108092140329,0.200707527480445,24,West_American,USA,West,American
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_American,USA,West,American
No. Characters,1,Less,More,More - Less,0.644683305677351,0.0880282399719402,74,West_Australian,AUS,West,Australian
No. Characters,2,Less,More,More - Less,0.723010504640095,0.108790480123648,40,West_Australian,AUS,West,Australian
No. Characters,3,Less,More,More - Less,0.274108092140329,0.200707527480445,24,West_Australian,AUS,West,Australian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Australian,AUS,West,Australian
No. Characters,1,Less,More,More - Less,0.799583875762685,0.0687128972470875,74,West_Brazilian,BRA,West,Brazilian
No. Characters,2,Less,More,More - Less,0.565052354134337,0.134171142049754,40,West_Brazilian,BRA,West,Brazilian
No. Characters,3,Less,More,More - Less,0.274108092140329,0.200707527480445,24,West_Brazilian,BRA,West,Brazilian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Brazilian,BRA,West,Brazilian
No. Characters,1,Less,More,More - Less,0.764161705891137,0.0745374730757159,74,West_British,GBR,West,British
No. Characters,2,Less,More,More - Less,0.5283205089498,0.133687824749372,40,West_British,GBR,West,British
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,West_British,GBR,West,British
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_British,GBR,West,British
No. Characters,1,Less,More,More - Less,0.693654541351302,0.0850626900040981,74,West_Canadian,CAN,West,Canadian
No. Characters,2,Less,More,More - Less,0.670427872775689,0.116925208106157,40,West_Canadian,CAN,West,Canadian
No. Characters,3,Less,More,More - Less,0.274108092140329,0.200707527480445,24,West_Canadian,CAN,West,Canadian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Canadian,CAN,West,Canadian
No. Characters,1,Less,More,More - Less,0.799583875762685,0.0687128972470875,74,West_German,DEU,West,German
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,West_German,DEU,West,German
No. Characters,3,Less,More,More - Less,0.343488237295979,0.197241914972039,24,West_German,DEU,West,German
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_German,DEU,West,German
No. Characters,1,Less,More,More - Less,0.764161705891137,0.0745374730757159,74,West_Italian,ITA,West,Italian
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,West_Italian,ITA,West,Italian
No. Characters,3,Less,More,More - Less,0.343488237295979,0.197241914972039,24,West_Italian,ITA,West,Italian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Italian,ITA,West,Italian
No. Characters,1,Less,More,More - Less,0.675226130382014,0.082402268488239,74,West_Polish,POL,West,Polish
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,West_Polish,POL,West,Polish
No. Characters,3,Less,More,More - Less,0.274108092140329,0.200707527480445,24,West_Polish,POL,West,Polish
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Polish,POL,West,Polish
No. Characters,1,Less,More,More - Less,0.675226130382014,0.082402268488239,74,West_Russian,RUS,West,Russian
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,West_Russian,RUS,West,Russian
No. Characters,3,Less,More,More - Less,0.274108092140329,0.200707527480445,24,West_Russian,RUS,West,Russian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Russian,RUS,West,Russian
No. Characters,1,Less,More,More - Less,0.799583875762685,0.0687128972470875,74,West_Spanish,ESP,West,Spanish
No. Characters,2,Less,More,More - Less,0.760326258107349,0.103304593251445,40,West_Spanish,ESP,West,Spanish
No. Characters,3,Less,More,More - Less,0.158474516880913,0.203661629225927,24,West_Spanish,ESP,West,Spanish
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Spanish,ESP,West,Spanish
