ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat
res_00000008_1,chatbot_extended,chatbot,0,0,0,1,0,Hoomans,Species,Species,,,,5,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
res_00000008_2,chatbot_extended,chatbot,0,1,0,0,0,Pets,Species,Species,,,,5,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
res_00000009_1,chatbot_extended,chatbot,0,1,1,0,1,Less,Utilitarian,Utilitarian,,,,2,2,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
res_00000009_2,chatbot_extended,chatbot,0,0,1,0,2,More,Utilitarian,Utilitarian,,,,4,2,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
res_00000010_1,chatbot_extended,chatbot,0,0,1,0,0,Female,Gender,Gender,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
res_00000010_2,chatbot_extended,chatbot,0,1,1,0,0,Male,Gender,Gender,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
res_00000011_1,chatbot_extended,chatbot,0,0,0,1,0,Hoomans,Species,Species,,,,1,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
res_00000011_2,chatbot_extended,chatbot,0,1,0,0,0,Pets,Species,Species,,,,1,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
res_00000012_1,chatbot_extended,chatbot,0,0,1,0,0,Hoomans,Species,Species,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
res_00000012_2,chatbot_extended,chatbot,0,1,1,0,0,Pets,Species,Species,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
res_00000013_1,chatbot_extended,chatbot,0,0,1,0,1,Female,Gender,Gender,,,,2,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
res_00000013_2,chatbot_extended,chatbot,0,1,1,0,2,Male,Gender,Gender,,,,2,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
res_00000014_1,chatbot_extended,chatbot,0,1,0,1,0,Less,Utilitarian,Utilitarian,,,,4,1,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
res_00000014_2,chatbot_extended,chatbot,0,0,0,0,1,More,Utilitarian,Utilitarian,,,,5,1,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
res_00000015_1,chatbot_extended,chatbot,0,0,1,0,2,Fat,Fitness,Fitness,,,,2,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
res_00000015_2,chatbot_extended,chatbot,0,1,1,0,1,Fit,Fitness,Fitness,,,,2,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
res_00000016_1,chatbot_extended,chatbot,0,0,0,1,0,Female,Gender,Gender,,,,5,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
res_00000016_2,chatbot_extended,chatbot,0,1,0,0,1,Male,Gender,Gender,,,,5,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
res_00000017_1,chatbot_extended,chatbot,0,1,1,0,1,Female,Gender,Gender,,,,2,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
res_00000017_2,chatbot_extended,chatbot,0,0,1,0,2,Male,Gender,Gender,,,,2,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
res_00000018_1,chatbot_extended,chatbot,0,1,0,1,0,Low,Social Value,Social Value,,,,3,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
res_00000018_2,chatbot_extended,chatbot,0,0,0,0,1,High,Social Value,Social Value,,,,3,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
res_00000019_1,chatbot_extended,chatbot,0,1,1,0,0,Fat,Fitness,Fitness,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
res_00000019_2,chatbot_extended,chatbot,0,0,1,0,0,Fit,Fitness,Fitness,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
res_00000020_1,chatbot_extended,chatbot,0,0,1,0,2,Young,Age,Age,,,,5,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
res_00000020_2,chatbot_extended,chatbot,0,1,1,0,1,Old,Age,Age,,,,5,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000021_1,chatbot_extended,chatbot,0,1,0,1,0,Less,Utilitarian,Utilitarian,,,,4,1,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
res_00000021_2,chatbot_extended,chatbot,0,0,0,0,0,More,Utilitarian,Utilitarian,,,,5,1,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0
res_00000022_1,chatbot_extended,chatbot,0,0,0,1,0,High,Social Value,Social Value,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
res_00000022_2,chatbot_extended,chatbot,0,1,0,0,0,Low,Social Value,Social Value,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
res_00000023_1,chatbot_extended,chatbot,0,1,1,0,0,Female,Gender,Gender,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
res_00000023_2,chatbot_extended,chatbot,0,0,1,0,0,Male,Gender,Gender,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
res_00000024_1,chatbot_extended,chatbot,0,0,1,0,2,Hoomans,Species,Species,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
res_00000024_2,chatbot_extended,chatbot,0,1,1,0,1,Pets,Species,Species,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
res_00000025_1,chatbot_extended,chatbot,0,0,0,1,0,Fit,Fitness,Fitness,,,,5,0,1,desktop,1,1,,Neutral,Neutral,Neutral,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
res_00000025_2,chatbot_extended,chatbot,0,1,0,0,0,Fat,Fitness,Fitness,,,,5,0,0,desktop,1,0,,Neutral,Neutral,Neutral,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
res_00000026_1,chatbot_extended,chatbot,0,1,1,0,1,Young,Age,Age,,,,4,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
res_00000026_2,chatbot_extended,chatbot,0,0,1,0,2,Old,Age,Age,,,,4,0,0,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000027_1,chatbot_extended,chatbot,0,0,0,1,0,Young,Age,Age,,,,4,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
res_00000027_2,chatbot_extended,chatbot,0,1,0,0,0,Old,Age,Age,,,,4,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000028_1,chatbot_extended,chatbot,0,0,0,1,0,Male,Gender,Gender,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
res_00000028_2,chatbot_extended,chatbot,0,1,0,0,2,Female,Gender,Gender,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
res_00000029_1,chatbot_extended,chatbot,0,1,1,0,2,Young,Age,Age,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000029_2,chatbot_extended,chatbot,0,0,1,0,1,Old,Age,Age,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000030_1,chatbot_extended,chatbot,0,1,1,0,0,Fat,Fitness,Fitness,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
res_00000030_2,chatbot_extended,chatbot,0,0,1,0,0,Fit,Fitness,Fitness,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
res_00000031_1,chatbot_extended,chatbot,0,1,1,0,1,Female,Gender,Gender,,,,2,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
res_00000031_2,chatbot_extended,chatbot,0,0,1,0,2,Male,Gender,Gender,,,,2,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
res_00000032_1,chatbot_extended,chatbot,0,1,1,0,2,Low,Social Value,Social Value,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
res_00000032_2,chatbot_extended,chatbot,0,0,1,0,1,High,Social Value,Social Value,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000033_1,chatbot_extended,chatbot,0,1,1,0,0,Hoomans,Species,Species,,,,2,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000033_2,chatbot_extended,chatbot,0,0,1,0,0,Pets,Species,Species,,,,2,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
res_00000034_1,chatbot_extended,chatbot,0,0,0,1,0,Less,Utilitarian,Utilitarian,,,,3,2,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
res_00000034_2,chatbot_extended,chatbot,0,1,0,0,2,More,Utilitarian,Utilitarian,,,,5,2,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
res_00000035_1,chatbot_extended,chatbot,0,1,1,0,2,Female,Gender,Gender,,,,2,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
res_00000035_2,chatbot_extended,chatbot,0,0,1,0,1,Male,Gender,Gender,,,,2,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
res_00000036_1,chatbot_extended,chatbot,0,0,1,0,0,Young,Age,Age,,,,2,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000036_2,chatbot_extended,chatbot,0,1,1,0,0,Old,Age,Age,,,,2,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000037_1,chatbot_extended,chatbot,0,1,1,0,1,Fat,Fitness,Fitness,,,,2,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
res_00000037_2,chatbot_extended,chatbot,0,0,1,0,2,Fit,Fitness,Fitness,,,,2,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
res_00000038_1,chatbot_extended,chatbot,0,1,0,1,0,High,Social Value,Social Value,,,,3,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
res_00000038_2,chatbot_extended,chatbot,0,0,0,0,2,Low,Social Value,Social Value,,,,3,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
res_00000039_1,chatbot_extended,chatbot,0,1,1,0,1,Low,Social Value,Social Value,,,,2,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
res_00000039_2,chatbot_extended,chatbot,0,0,1,0,2,High,Social Value,Social Value,,,,2,0,0,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
res_00000040_1,chatbot_extended,chatbot,0,0,1,0,2,Low,Social Value,Social Value,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
res_00000040_2,chatbot_extended,chatbot,0,1,1,0,1,High,Social Value,Social Value,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
res_00000041_1,chatbot_extended,chatbot,0,0,1,0,1,Less,Utilitarian,Utilitarian,,,,1,1,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000041_2,chatbot_extended,chatbot,0,1,1,0,2,More,Utilitarian,Utilitarian,,,,2,1,1,desktop,1,0,,Neutral,Neutral,Neutral,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000042_1,chatbot_extended,chatbot,0,1,0,1,0,High,Social Value,Social Value,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
res_00000042_2,chatbot_extended,chatbot,0,0,0,0,0,Low,Social Value,Social Value,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
res_00000043_1,chatbot_extended,chatbot,0,0,1,0,0,Hoomans,Species,Species,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
res_00000043_2,chatbot_extended,chatbot,0,1,1,0,0,Pets,Species,Species,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
res_00000044_1,chatbot_extended,chatbot,0,1,1,0,1,Fat,Fitness,Fitness,,,,4,0,1,desktop,1,1,,Neutral,Neutral,Neutral,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
res_00000044_2,chatbot_extended,chatbot,0,0,1,0,2,Fit,Fitness,Fitness,,,,4,0,0,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
res_00000045_1,chatbot_extended,chatbot,0,1,0,1,0,Less,Utilitarian,Utilitarian,,,,3,1,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
res_00000045_2,chatbot_extended,chatbot,0,0,0,0,1,More,Utilitarian,Utilitarian,,,,4,1,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
res_00000046_1,chatbot_extended,chatbot,0,1,0,1,0,More,Utilitarian,Utilitarian,,,,5,3,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
res_00000046_2,chatbot_extended,chatbot,0,0,0,0,0,Less,Utilitarian,Utilitarian,,,,2,3,0,desktop,1,0,,Neutral,Neutral,Neutral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
res_00000047_1,chatbot_extended,chatbot,0,0,0,1,0,Female,Gender,Gender,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
res_00000047_2,chatbot_extended,chatbot,0,1,0,0,0,Male,Gender,Gender,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
res_00000048_1,chatbot_extended,chatbot,0,0,1,0,0,Hoomans,Species,Species,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
res_00000048_2,chatbot_extended,chatbot,0,1,1,0,0,Pets,Species,Species,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
res_00000049_1,chatbot_extended,chatbot,0,0,1,0,1,Young,Age,Age,,,,2,0,0,desktop,1,1,,Neutral,Neutral,Neutral,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000049_2,chatbot_extended,chatbot,0,1,1,0,2,Old,Age,Age,,,,2,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000050_1,chatbot_extended,chatbot,0,1,0,1,0,Young,Age,Age,,,,5,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
res_00000050_2,chatbot_extended,chatbot,0,0,0,0,2,Old,Age,Age,,,,5,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000051_1,chatbot_extended,chatbot,0,0,0,1,0,Old,Age,Age,,,,3,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000051_2,chatbot_extended,chatbot,0,1,0,0,2,Young,Age,Age,,,,3,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
res_00000052_1,chatbot_extended,chatbot,0,0,0,1,0,Low,Social Value,Social Value,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
res_00000052_2,chatbot_extended,chatbot,0,1,0,0,0,High,Social Value,Social Value,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000053_1,chatbot_extended,chatbot,0,1,0,1,0,Low,Social Value,Social Value,,,,1,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
res_00000053_2,chatbot_extended,chatbot,0,0,0,0,2,High,Social Value,Social Value,,,,1,0,1,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000054_1,chatbot_extended,chatbot,0,0,0,1,0,Old,Age,Age,,,,1,0,1,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000054_2,chatbot_extended,chatbot,0,1,0,0,1,Young,Age,Age,,,,1,0,0,desktop,1,0,,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_00000055_1,chatbot_extended,chatbot,0,1,0,1,0,Hoomans,Species,Species,,,,4,0,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
res_00000055_2,chatbot_extended,chatbot,0,0,0,0,2,Pets,Species,Species,,,,4,0,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
res_00000056_1,chatbot_extended,chatbot,0,1,0,1,0,Less,Utilitarian,Utilitarian,,,,2,1,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
res_00000056_2,chatbot_extended,chatbot,0,0,0,0,1,More,Utilitarian,Utilitarian,,,,3,1,1,desktop,1,0,,Neutral,Neutral,Neutral,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
res_00000057_1,chatbot_extended,chatbot,0,0,1,0,0,Less,Utilitarian,Utilitarian,,,,2,3,0,desktop,1,1,,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
